alias,canonical
serene,Calm
peaceful,Calm
tranquil,Calm
soothing,Calm
unwind,Calm
breathwork,Calm
wind down,Calm
decompress,Calm

chill,Chill
laid back,Chill
lofi,Chill
lo-fi,Chill
coffee shop,Chill
background vibe,Chill
easy listening,Chill
soft beats,Chill

mellow,Mellow
smooth,Mellow
soft,Mellow
gentle,Mellow
warm vibes,Mellow
downtempo,Mellow

dreamy,Dreamy
floaty,Dreamy
airy,Dreamy
hazy,Dreamy
cloudlike,Dreamy
shoegaze,Dreamy
glimmer,Dreamy

atmospheric,Atmospheric
cinematic,Atmospheric
soundscape,Atmospheric
ambient,Atmospheric
spacey,Atmospheric
wide open,Atmospheric
post rock,Atmospheric

hypnotic,Hypnotic
mesmerizing,Hypnotic
trancey,Hypnotic
looped,Hypnotic
rolling,Hypnotic
locked groove,Hypnotic

focus,Focus
study,Focus
deep work,Focus
concentrate,Focus
no lyrics,Focus
instrumental only,Focus
pomodoro,Focus

introspective,Introspective
inward,Introspective
reflective,Introspective
journaling,Introspective
late night thoughts,Introspective

sad,Melancholic
heartbroken,Melancholic
blue,Melancholic
tearful,Melancholic
lonely,Melancholic
crying in the club,Melancholic
down bad,Melancholic

somber,Somber
bleak,Somber
funeral,Somber
dreary,Somber
overcast,Somber
rainy day,Somber

brooding,Brooding
moody,Brooding
stormy,Brooding
smoldering,Brooding

dark,Dark
shadowy,Dark
goth,Dark
noir,Dark
ominous,Dark

warm,Warm
cozy,Warm
fireplace,Warm
blanket,Warm
golden hour,Warm

bright,Bright
bubbly,Bright
sparkly,Bright
sunny,Bright
shiny,Bright

uplifting,Uplifting
feel good,Uplifting
feelgood,Uplifting
positive vibes,Uplifting
good mood,Uplifting
pick me up,Uplifting

euphoric,Euphoric
rush,Euphoric
hands in the air,Euphoric
festival high,Euphoric
drop ready,Euphoric

playful,Playful
whimsical,Playful
cheeky,Playful
bouncy,Playful
quirky,Playful

romantic,Romantic
date night,Romantic
love songs,Romantic
candlelight,Romantic
slow dance,Romantic

sensual,Sensual
intimate,Sensual
steamy,Sensual
bedroom,Sensual
make out,Sensual

bittersweet,Bittersweet
sweet sorrow,Bittersweet
wistful,Bittersweet
moving on,Bittersweet

nostalgic,Nostalgic
throwback,Nostalgic
retro vibes,Nostalgic
remember when,Nostalgic
coming of age,Nostalgic

hopeful,Hopeful
optimistic,Hopeful
new beginnings,Hopeful
fresh start,Hopeful

triumphant,Triumphant
victorious,Triumphant
we made it,Triumphant
win day,Triumphant

epic,Epic
anthemic,Epic
boss battle,Epic
final boss,Epic
trailer music,Epic

energetic,Energetic
hyped,Energetic
pump up,Energetic
high octane,Energetic
upbeat,Energetic

aggressive,Aggressive
heavy,Aggressive
hard hitting,Aggressive
rage,Aggressive
mosh,Aggressive
go hard,Aggressive

gritty,Gritty
raw,Gritty
dirty,Gritty
crunchy,Gritty
garage,Gritty

groovy,Groovy
funky,Groovy
in the pocket,Groovy
strut,Groovy
head nod,Groovy

confident,Confident
boss mode,Confident
swagger,Confident
